;min_price;max_price;mean_price;std_price;upward_price_variation;spread
2012-01-01;-0.08;33.78;18.19;10.04;44.54;33.86
2012-01-02;-11.07;64.03;33.819;22.038;77.15;75.1
2012-01-03;15.96;53.1;35.026;10.468;45.72;37.14
2012-01-04;0.04;57.42;32.163;18.943;64.52;57.38
2012-01-05;-75.04;47.61;20.35;33.183;125.48;122.65
2012-01-06;6.29;65.24;36.257;16.711;67.7;58.95
2012-01-07;11.77;49.01;32.576;9.263;43.78;37.24
2012-01-08;-0.09;55.01;26.828;18.705;75.73;55.1
2012-01-09;32.46;64.48;47.908;10.328;42.76;32.02
2012-01-10;28.06;61.18;45.773;10.286;37.02;33.12
2012-01-11;29.41;70.99;47.833;10.017;47.41;41.58
2012-01-12;28.89;56.42;43.104;8.115;44.63;27.53
2012-01-13;16.36;53.43;36.693;11.289;48.82;37.07
2012-01-14;28.02;62.0;40.061;8.973;46.19;33.98
2012-01-15;32.73;56.53;41.582;6.697;32.63;23.8
2012-01-16;33.47;70.45;49.509;9.645;50.11;36.98
2012-01-17;38.08;68.2;50.018;8.235;41.61;30.12
2012-01-18;37.31;62.75;45.372;6.277;38.04;25.44
2012-01-19;31.0;57.97;45.158;8.828;43.29;26.97
2012-01-20;27.52;58.46;42.734;8.456;39.77;30.94
2012-01-21;16.92;47.55;37.605;6.63;28.55;30.63
2012-01-22;-100.08;45.32;13.657;29.583;172.05;145.4
2012-01-23;28.02;60.2;44.008;9.67;42.84;32.18
2012-01-24;34.42;67.01;49.351;9.099;40.48;32.59
2012-01-25;37.0;66.09;47.158;7.783;42.02;29.09
2012-01-26;33.59;58.51;45.182;7.603;42.5;24.92
2012-01-27;34.31;65.04;48.756;8.757;50.31;30.73
2012-01-28;36.06;60.42;45.339;6.78;39.36;24.36
2012-01-29;33.38;55.97;41.498;6.664;40.49;22.59
2012-01-30;29.67;59.28;44.309;8.897;40.99;29.61
2012-01-31;36.69;70.94;48.721;8.873;50.45;34.25
2012-02-01;38.52;78.92;51.21;9.704;53.8;40.4
2012-02-02;39.76;120.0;62.338;21.4;126.64;80.24
2012-02-03;42.16;111.42;63.813;21.158;125.84;69.26
2012-02-04;42.64;103.46;51.378;12.935;79.76;60.82
2012-02-05;39.09;58.95;44.33;5.106;29.85;19.86
2012-02-06;40.2;142.91;78.947;29.603;148.93;102.71
2012-02-07;45.0;125.07;78.122;26.844;132.04;80.07
2012-02-08;42.48;210.0;98.982;45.764;227.97;167.52
2012-02-09;42.44;169.9;76.487;29.288;178.16;127.46
2012-02-10;44.9;183.49;82.478;41.623;237.71;138.59
2012-02-11;40.42;95.2;53.193;13.551;78.85;54.78
2012-02-12;36.12;66.91;42.498;8.012;38.17;30.79
2012-02-13;40.04;138.71;84.427;34.409;144.94;98.67
2012-02-14;34.0;97.41;63.873;18.937;82.62;63.41
2012-02-15;13.33;55.91;35.977;11.741;47.96;42.58
2012-02-16;40.25;82.31;54.887;13.204;73.63;42.06
2012-02-17;34.56;72.2;48.068;10.119;55.72;37.64
2012-02-18;32.66;54.7;42.095;7.328;43.77;22.04
2012-02-19;14.67;51.72;28.745;11.739;64.55;37.05
2012-02-20;34.63;89.52;50.637;15.631;97.61;54.89
2012-02-21;31.06;75.8;43.62;11.716;59.88;44.74
2012-02-22;28.4;57.91;43.794;7.665;38.54;29.51
2012-02-23;12.64;72.21;41.026;15.557;67.87;59.57
2012-02-24;27.75;58.67;44.781;9.626;40.18;30.92
2012-02-25;31.32;59.73;40.3;7.156;49.67;28.41
2012-02-26;30.28;66.78;42.767;10.964;52.52;36.5
2012-02-27;33.55;65.47;47.258;9.034;50.44;31.92
2012-02-28;35.9;61.19;47.42;7.93;36.68;25.29
2012-02-29;30.1;68.24;49.325;11.449;55.95;38.14
2012-03-01;30.93;64.72;47.448;9.498;53.88;33.79
2012-03-02;35.6;61.18;49.036;7.743;44.97;25.58
2012-03-03;30.4;63.43;39.384;8.242;44.88;33.03
2012-03-04;29.65;57.7;37.466;7.554;39.07;28.05
2012-03-05;24.68;85.79;44.546;14.011;71.94;61.11
2012-03-06;37.06;77.54;48.552;9.433;58.12;40.48
2012-03-07;35.36;64.1;43.245;8.094;46.83;28.74
2012-03-08;29.04;89.94;45.895;13.071;69.92;60.9
2012-03-09;38.65;64.94;47.737;7.386;45.63;26.29
2012-03-10;33.0;61.24;41.735;7.323;43.24;28.24
2012-03-11;16.65;56.77;31.683;12.026;57.81;40.12
2012-03-12;25.45;69.89;45.053;11.474;55.9;44.44
2012-03-13;34.39;79.21;47.902;10.576;65.41;44.82
2012-03-14;31.82;82.16;46.735;10.74;67.04;50.34
2012-03-15;33.11;73.98;47.471;10.498;64.4;40.87
2012-03-16;33.46;64.93;43.681;7.832;50.89;31.47
2012-03-17;24.12;68.2;40.22;10.627;62.02;44.08
2012-03-18;24.52;65.28;34.399;10.212;54.17;40.76
2012-03-19;23.88;121.97;46.02;20.353;117.8;98.09
2012-03-20;31.3;88.19;43.437;12.073;73.91;56.89
2012-03-21;33.61;84.47;45.562;11.579;71.83;50.86
2012-03-22;32.43;75.45;45.347;9.711;59.94;43.02
2012-03-23;27.14;63.53;41.747;8.432;49.42;36.39
2012-03-24;26.29;58.5;38.63;7.068;55.52;32.21
2012-03-25;11.19;44.85;25.369;9.574;44.22;33.66
2012-03-26;23.16;67.14;41.603;12.67;66.49;43.98
2012-03-27;21.29;55.0;39.403;9.595;53.67;33.71
2012-03-28;21.55;58.07;39.256;11.001;52.52;36.52
2012-03-29;14.2;48.93;31.615;11.589;57.22;34.73
2012-03-30;16.12;49.89;35.558;11.169;47.43;33.77
2012-03-31;-3.03;39.96;19.238;12.212;64.16;42.99
2012-04-01;-0.08;44.94;24.103;10.863;50.76;45.02
2012-04-02;11.71;65.53;43.543;17.623;72.01;53.82
2012-04-03;35.21;65.53;50.551;8.602;42.15;30.32
2012-04-04;32.37;59.95;47.77;8.798;42.03;27.58
2012-04-05;34.15;65.98;50.022;9.28;45.14;31.83
2012-04-06;33.9;49.65;41.773;5.384;38.32;15.75
2012-04-07;29.11;49.64;39.451;6.937;46.77;20.53
2012-04-08;24.75;52.84;35.199;9.028;32.57;28.09
2012-04-09;11.86;34.26;21.86;7.938;44.42;22.4
2012-04-10;11.45;70.0;40.671;17.878;69.21;58.55
2012-04-11;35.63;79.24;53.856;12.391;57.34;43.61
2012-04-12;39.06;64.95;52.959;8.767;47.4;25.89
2012-04-13;40.75;81.19;56.677;12.243;61.94;40.44
2012-04-14;36.66;53.91;45.09;4.897;29.22;17.25
2012-04-15;27.74;43.48;34.369;4.898;27.96;15.74
2012-04-16;28.0;62.93;45.262;12.12;59.28;34.93
2012-04-17;38.44;78.19;51.495;11.429;64.93;39.75
2012-04-18;34.4;76.41;50.878;12.74;56.85;42.01
2012-04-19;36.37;63.45;50.399;9.166;47.42;27.08
2012-04-20;39.95;77.98;53.867;11.558;55.12;38.03
2012-04-21;34.84;54.11;42.163;5.729;32.98;19.27
2012-04-22;30.21;53.71;37.777;6.777;35.62;23.5
2012-04-23;34.08;67.02;51.395;9.654;63.57;32.94
2012-04-24;34.7;63.95;51.213;10.449;39.36;29.25
2012-04-25;34.62;59.82;44.1;6.198;36.51;25.2
2012-04-26;24.92;59.22;41.63;10.6;50.83;34.3
2012-04-27;35.01;62.59;46.901;9.445;57.6;27.58
2012-04-28;26.53;52.43;37.215;8.096;44.11;25.9
2012-04-29;4.39;47.24;22.465;12.334;60.04;42.85
2012-04-30;24.97;58.84;42.302;10.133;49.87;33.87
2012-05-01;12.08;45.58;23.775;11.065;44.53;33.5
2012-05-02;23.98;67.02;48.176;14.299;56.52;43.04
2012-05-03;34.01;71.46;50.288;10.843;46.72;37.45
2012-05-04;30.46;69.3;42.925;9.285;52.41;38.84
2012-05-05;28.14;47.93;36.768;5.758;34.89;19.79
2012-05-06;25.0;46.98;32.68;6.075;28.56;21.98
2012-05-07;29.3;60.56;47.382;10.63;40.46;31.26
2012-05-08;33.0;50.07;40.335;5.912;30.63;17.07
2012-05-09;28.61;61.18;48.674;10.24;45.49;32.57
2012-05-10;30.53;52.88;43.119;6.505;35.68;22.35
2012-05-11;22.39;51.93;38.833;9.099;47.83;29.54
2012-05-12;25.69;49.94;35.377;6.984;38.89;24.25
2012-05-13;23.98;49.9;31.195;8.0;33.63;25.92
2012-05-14;24.99;66.85;44.67;12.267;72.85;41.86
2012-05-15;32.86;63.91;49.188;9.189;37.59;31.05
2012-05-16;27.35;54.94;40.872;7.945;42.2;27.59
2012-05-17;22.51;44.0;30.405;6.781;29.74;21.49
2012-05-18;23.85;45.77;35.493;7.361;35.5;21.92
2012-05-19;29.37;46.28;36.524;5.019;30.71;16.91
2012-05-20;17.25;38.44;25.059;6.342;30.96;21.19
2012-05-21;14.93;55.89;39.05;13.168;53.7;40.96
2012-05-22;22.72;55.75;46.116;10.17;39.78;33.03
2012-05-23;27.58;58.8;43.47;9.235;37.79;31.22
2012-05-24;25.0;57.05;43.173;9.375;44.92;32.05
2012-05-25;26.34;54.04;38.682;7.318;39.7;27.7
2012-05-26;14.96;44.76;29.893;8.241;41.02;29.8
2012-05-27;10.19;36.2;20.457;8.047;37.3;26.01
2012-05-28;13.71;45.91;25.63;8.191;47.93;32.2
2012-05-29;21.96;55.0;41.117;9.526;51.37;33.04
2012-05-30;30.1;57.95;46.077;8.85;34.74;27.85
2012-05-31;32.86;58.65;48.92;8.628;30.49;25.79
2012-06-01;24.59;55.01;38.146;8.245;39.24;30.42
2012-06-02;19.67;39.92;30.255;5.989;32.8;20.25
2012-06-03;17.93;45.92;30.946;8.761;45.83;27.99
2012-06-04;23.25;72.13;46.51;15.881;53.45;48.88
2012-06-05;21.49;60.88;41.747;10.856;52.4;39.39
2012-06-06;31.93;69.22;48.501;10.418;41.04;37.29
2012-06-07;23.36;47.85;37.483;6.643;36.9;24.49
2012-06-08;19.71;49.7;38.032;9.571;41.86;29.99
2012-06-09;11.47;37.91;23.039;7.669;46.33;26.44
2012-06-10;11.27;47.06;24.368;10.074;39.67;35.79
2012-06-11;20.24;62.87;45.567;13.77;53.65;42.63
2012-06-12;30.83;60.63;48.863;9.988;35.86;29.8
2012-06-13;29.11;65.74;48.026;11.178;46.11;36.63
2012-06-14;31.65;62.17;47.886;9.523;41.86;30.52
2012-06-15;24.52;54.5;39.731;8.086;42.75;29.98
2012-06-16;17.71;41.0;27.948;6.534;42.89;23.29
2012-06-17;10.19;53.02;22.003;11.883;53.53;42.83
2012-06-18;18.09;53.05;38.24;10.407;52.02;34.96
2012-06-19;31.01;59.44;47.582;10.237;39.81;28.43
2012-06-20;33.29;64.95;50.892;10.748;43.02;31.66
2012-06-21;33.78;62.56;48.608;9.382;31.69;28.78
2012-06-22;20.78;52.52;39.223;8.535;49.04;31.74
2012-06-23;19.62;44.92;32.143;7.505;43.94;25.3
2012-06-24;11.04;32.31;18.585;5.947;30.58;21.27
2012-06-25;3.02;48.57;32.251;14.441;54.3;45.55
2012-06-26;17.64;50.0;37.452;11.059;48.7;32.36
2012-06-27;25.07;61.19;48.967;10.742;46.35;36.12
2012-06-28;30.12;63.2;47.533;9.681;36.15;33.08
2012-06-29;24.84;60.29;46.516;10.274;51.28;35.45
2012-06-30;26.09;45.54;37.175;6.299;39.42;19.45
2012-07-01;13.53;43.59;25.088;8.635;32.81;30.06
2012-07-02;17.76;58.92;44.471;14.489;49.49;41.16
2012-07-03;25.28;61.19;49.63;11.839;49.45;35.91
2012-07-04;27.69;58.66;47.368;9.415;38.55;30.97
2012-07-05;19.09;58.92;46.294;11.963;52.5;39.83
2012-07-06;25.16;66.59;48.527;11.385;48.86;41.43
2012-07-07;32.08;46.97;39.753;4.351;27.2;14.89
2012-07-08;13.39;42.9;24.683;7.848;44.32;29.51
2012-07-09;15.1;53.97;40.787;12.877;53.79;38.87
2012-07-10;30.4;58.46;47.715;8.715;31.16;28.06
2012-07-11;32.12;58.97;45.298;8.401;35.71;26.85
2012-07-12;20.7;50.11;39.648;8.515;45.63;29.41
2012-07-13;28.64;66.79;46.036;10.509;40.65;38.15
2012-07-14;13.07;46.07;31.718;8.488;55.03;33.0
2012-07-15;12.37;45.9;26.19;9.96;53.17;33.53
2012-07-16;15.58;49.94;38.415;11.704;44.86;34.36
2012-07-17;19.87;61.18;44.493;11.327;49.49;41.31
2012-07-18;29.34;54.34;43.814;7.27;30.36;25.0
2012-07-19;28.03;51.01;40.252;6.351;35.22;22.98
2012-07-20;26.91;56.32;45.464;8.886;36.49;29.41
2012-07-21;30.73;44.94;38.386;4.197;24.98;14.21
2012-07-22;12.01;49.09;28.089;9.41;48.63;37.08
2012-07-23;22.05;53.66;42.729;9.406;41.68;31.61
2012-07-24;29.48;53.73;45.541;8.007;35.15;24.25
2012-07-25;35.28;57.21;49.358;7.595;28.67;21.93
2012-07-26;36.13;59.93;49.577;7.542;32.51;23.8
2012-07-27;37.18;59.27;48.631;7.487;29.9;22.09
2012-07-28;32.04;46.19;38.67;4.467;27.39;14.15
2012-07-29;20.74;46.63;30.647;7.451;41.49;25.89
2012-07-30;16.34;49.98;39.87;10.376;44.4;33.64
2012-07-31;23.19;52.89;44.462;9.035;32.2;29.7
2012-08-01;26.03;52.91;41.488;7.35;37.71;26.88
2012-08-02;17.08;53.19;42.587;11.839;40.04;36.11
2012-08-03;31.16;56.67;46.742;7.234;34.01;25.51
2012-08-04;31.34;47.88;40.16;5.281;26.86;16.54
2012-08-05;24.52;48.96;35.989;7.259;37.71;24.44
2012-08-06;18.61;58.83;43.673;11.001;47.24;40.22
2012-08-07;17.89;48.08;38.115;9.356;41.06;30.19
2012-08-08;24.79;52.48;44.222;9.035;30.99;27.69
2012-08-09;31.69;53.11;47.122;6.535;27.27;21.42
2012-08-10;30.05;51.52;44.853;6.771;30.77;21.47
2012-08-11;33.36;49.98;41.026;5.566;26.92;16.62
2012-08-12;15.31;45.94;26.468;10.227;36.52;30.63
2012-08-13;26.66;54.19;45.163;9.429;33.02;27.53
2012-08-14;35.03;56.72;47.916;6.539;32.54;21.69
2012-08-15;32.19;54.65;41.479;6.777;38.28;22.46
2012-08-16;35.04;61.64;51.446;9.639;35.16;26.6
2012-08-17;38.04;61.94;51.782;7.824;32.99;23.9
2012-08-18;29.94;54.02;40.499;8.009;41.46;24.08
2012-08-19;25.04;55.54;36.75;9.506;46.64;30.5
2012-08-20;30.69;60.08;49.925;10.106;38.71;29.39
2012-08-21;40.05;85.34;61.026;12.081;60.22;45.29
2012-08-22;38.66;60.0;49.381;7.593;41.82;21.34
2012-08-23;36.89;70.04;53.286;9.004;39.13;33.15
2012-08-24;36.86;67.73;51.329;8.566;34.56;30.87
2012-08-25;37.03;49.62;42.651;3.933;20.83;12.59
2012-08-26;13.67;45.17;24.803;9.423;38.93;31.5
2012-08-27;31.36;67.12;47.882;10.686;67.31;35.76
2012-08-28;33.18;59.48;49.445;9.244;30.59;26.3
2012-08-29;39.39;61.67;52.231;7.927;27.82;22.28
2012-08-30;37.37;62.48;52.52;8.525;33.98;25.11
2012-08-31;35.94;66.99;49.856;10.244;40.31;31.05
2012-09-01;31.49;56.03;43.82;7.397;41.62;24.54
2012-09-02;20.52;53.19;34.277;8.655;42.47;32.67
2012-09-03;28.94;63.2;50.81;11.673;41.44;34.26
2012-09-04;35.18;61.27;49.099;8.83;41.83;26.09
2012-09-05;31.28;59.76;49.622;9.306;34.07;28.48
2012-09-06;33.2;63.87;50.073;10.485;50.78;30.67
2012-09-07;33.21;60.1;45.404;9.43;50.83;26.89
2012-09-08;34.86;59.99;46.989;8.134;49.02;25.13
2012-09-09;25.53;59.25;38.564;8.641;44.06;33.72
2012-09-10;26.0;73.64;51.29;13.096;62.23;47.64
2012-09-11;35.84;63.95;53.524;9.478;38.12;28.11
2012-09-12;35.64;70.5;55.865;11.823;41.65;34.86
2012-09-13;34.14;65.63;52.742;10.703;40.34;31.49
2012-09-14;14.44;55.45;33.327;12.67;78.19;41.01
2012-09-15;17.56;57.93;38.272;9.811;54.12;40.37
2012-09-16;19.08;58.98;33.688;11.375;57.83;39.9
2012-09-17;18.98;68.37;50.127;14.268;57.98;49.39
2012-09-18;35.53;64.93;53.192;9.959;37.5;29.4
2012-09-19;34.82;66.41;51.571;10.645;49.55;31.59
2012-09-20;33.31;70.19;50.437;11.211;57.09;36.88
2012-09-21;33.68;63.48;48.851;10.136;50.06;29.8
2012-09-22;25.49;52.93;38.446;8.36;47.83;27.44
2012-09-23;19.8;54.78;33.132;9.117;47.7;34.98
2012-09-24;15.75;59.93;39.378;16.597;55.56;44.18
2012-09-25;17.5;68.19;44.418;15.149;81.18;50.69
2012-09-26;25.28;67.04;49.885;12.991;53.19;41.76
2012-09-27;28.49;67.08;47.661;11.198;48.19;38.59
2012-09-28;24.15;64.49;43.363;12.195;66.89;40.34
2012-09-29;24.04;54.98;34.704;8.476;43.83;30.94
2012-09-30;12.39;55.0;27.622;11.452;52.78;42.61
2012-10-01;28.92;68.56;50.93;13.053;56.9;39.64
2012-10-02;27.84;74.77;47.474;12.343;64.22;46.93
2012-10-03;15.07;59.96;29.751;10.471;56.2;44.89
2012-10-04;25.26;68.03;47.773;14.091;79.27;42.77
2012-10-05;29.57;63.7;40.581;11.229;56.57;34.13
2012-10-06;28.77;61.82;38.844;8.581;48.27;33.05
2012-10-07;21.93;45.97;33.119;6.911;45.87;24.04
2012-10-08;19.12;71.99;41.123;14.748;76.23;52.87
2012-10-09;30.05;75.09;44.899;13.642;73.45;45.04
2012-10-10;31.79;90.19;51.55;13.87;76.05;58.4
2012-10-11;33.88;81.71;52.686;13.527;73.45;47.83
2012-10-12;30.76;65.91;46.945;11.373;50.82;35.15
2012-10-13;22.15;60.97;36.976;9.252;43.26;38.82
2012-10-14;12.57;56.42;30.274;11.388;50.42;43.85
2012-10-15;12.51;64.14;43.515;15.001;67.68;51.63
2012-10-16;27.54;83.97;42.45;13.811;84.58;56.43
2012-10-17;22.47;67.07;42.07;13.053;71.21;44.6
2012-10-18;26.14;75.0;41.007;12.512;73.63;48.86
2012-10-19;30.01;67.83;44.762;13.088;70.48;37.82
2012-10-20;31.02;61.58;38.114;7.945;48.0;30.56
2012-10-21;27.74;61.96;37.202;8.532;43.58;34.22
2012-10-22;31.96;80.0;49.212;13.903;75.39;48.04
2012-10-23;33.85;72.31;51.087;12.045;52.79;38.46
2012-10-24;33.45;72.76;54.83;13.948;54.94;39.31
2012-10-25;34.22;68.92;50.128;12.304;58.49;34.7
2012-10-26;31.69;78.57;51.466;13.811;65.4;46.88
2012-10-27;33.97;54.99;39.567;6.638;35.28;21.02
2012-10-28;31.85;55.07;37.334;6.366;24.37;23.22
2012-10-29;22.37;75.65;42.635;13.653;73.53;53.28
2012-10-30;33.12;105.49;55.52;17.279;78.57;72.37
2012-10-31;34.37;66.2;48.041;10.876;53.06;31.83
2012-11-01;19.92;49.96;33.142;7.607;32.56;30.04
2012-11-02;11.01;66.31;35.008;15.251;68.18;55.3
2012-11-03;18.98;61.18;35.476;11.857;46.69;42.2
2012-11-04;10.96;43.47;28.446;9.755;38.95;32.51
2012-11-05;10.09;65.88;43.112;18.02;67.27;55.79
2012-11-06;10.79;63.19;43.592;14.281;50.67;52.4
2012-11-07;-1.99;60.92;35.457;19.923;81.32;62.91
2012-11-08;12.98;67.04;39.811;14.779;64.88;54.06
2012-11-09;32.6;69.77;51.023;11.744;51.16;37.17
2012-11-10;25.4;58.43;39.507;8.96;47.85;33.03
2012-11-11;11.9;56.99;34.718;14.561;62.79;45.09
2012-11-12;23.78;93.0;52.555;17.076;76.86;69.22
2012-11-13;32.88;80.4;52.048;14.097;56.06;47.52
2012-11-14;30.92;83.79;50.887;14.71;72.57;52.87
2012-11-15;35.23;99.71;55.546;14.938;92.59;64.48
2012-11-16;34.73;69.35;52.089;11.794;53.06;34.62
2012-11-17;32.11;59.62;40.941;7.58;38.7;27.51
2012-11-18;29.41;62.04;42.607;10.152;43.47;32.63
2012-11-19;32.96;72.99;54.261;13.354;45.16;40.03
2012-11-20;31.85;68.32;52.2;11.896;44.0;36.47
2012-11-21;33.02;65.96;50.395;11.467;37.69;32.94
2012-11-22;24.99;67.94;48.804;14.937;46.85;42.95
2012-11-23;26.02;66.22;47.342;11.943;53.01;40.2
2012-11-24;32.23;57.03;41.613;7.142;36.05;24.8
2012-11-25;0.49;37.09;19.912;10.625;51.98;36.6
2012-11-26;5.1;64.5;44.224;20.336;67.72;59.4
2012-11-27;31.39;75.24;55.492;14.289;53.05;43.85
2012-11-28;32.96;71.88;52.947;13.437;49.41;38.92
2012-11-29;32.07;69.96;52.736;13.266;47.54;37.89
2012-11-30;33.16;81.12;57.686;15.879;58.68;47.96
2012-12-01;34.95;70.09;46.008;10.683;44.71;35.14
2012-12-02;32.86;58.87;41.108;8.462;40.14;26.01
2012-12-03;34.54;70.69;51.262;13.111;44.35;36.15
2012-12-04;23.19;68.59;47.383;12.793;49.93;45.4
2012-12-05;34.21;72.0;54.858;14.237;43.71;37.79
2012-12-06;34.12;92.15;53.897;15.119;63.26;58.03
2012-12-07;35.88;71.27;52.901;12.263;51.47;35.39
2012-12-08;37.27;70.24;50.118;10.995;45.66;32.97
2012-12-09;23.89;40.07;35.079;3.761;23.05;16.18
2012-12-10;24.71;82.84;52.955;18.213;61.57;58.13
2012-12-11;36.69;104.74;60.324;17.843;80.73;68.05
2012-12-12;37.82;139.67;72.069;28.576;130.77;101.85
2012-12-13;37.65;115.38;65.441;20.928;104.21;77.73
2012-12-14;30.57;68.5;49.35;13.461;44.99;37.93
2012-12-15;13.35;52.99;33.879;11.16;46.25;39.64
2012-12-16;13.75;51.12;33.241;10.588;40.84;37.37
2012-12-17;33.22;69.94;53.276;13.901;43.77;36.72
2012-12-18;34.53;73.98;55.24;13.591;43.56;39.45
2012-12-19;34.2;77.4;52.968;13.579;51.6;43.2
2012-12-20;32.23;58.94;46.728;10.131;34.33;26.71
2012-12-21;14.35;55.92;38.154;12.564;52.21;41.57
2012-12-22;23.12;53.94;37.361;7.221;36.1;30.82
2012-12-23;-0.01;34.51;16.164;9.568;52.38;34.52
2012-12-24;-0.08;35.43;16.603;12.368;53.69;35.51
2012-12-25;-221.99;15.73;-56.87;96.875;243.35;237.72
2012-12-26;-188.95;24.59;-45.768;88.333;242.46;213.54
2012-12-27;-67.98;60.18;20.445;29.102;147.97;128.16
2012-12-28;11.67;45.13;31.298;10.826;36.29;33.46
2012-12-29;8.07;35.86;16.678;6.519;31.87;27.79
2012-12-30;-4.45;22.14;10.366;8.25;33.2;26.59
2012-12-31;-64.92;31.62;8.395;18.523;117.99;96.54
2013-01-01;-0.07;37.12;17.925;12.592;52.99;37.19
2013-01-02;11.81;59.89;38.235;14.687;65.68;48.08
2013-01-03;13.92;53.94;33.772;11.238;43.99;40.02
2013-01-04;9.5;45.09;32.123;12.077;43.19;35.59
2013-01-05;12.99;54.99;33.028;12.068;51.08;42.0
2013-01-06;12.37;40.05;29.011;8.929;42.14;27.68
2013-01-07;17.48;71.51;52.396;15.931;58.53;54.03
2013-01-08;34.83;79.75;53.146;13.417;52.27;44.92
2013-01-09;35.17;66.11;51.974;13.161;35.37;30.94
2013-01-10;32.97;69.39;50.032;12.081;42.09;36.42
2013-01-11;35.31;69.07;52.802;12.033;45.77;33.76
2013-01-12;36.86;64.93;44.517;8.221;38.49;28.07
2013-01-13;32.02;48.9;38.809;3.804;19.27;16.88
2013-01-14;31.06;73.25;52.047;13.476;48.95;42.19
2013-01-15;36.92;72.1;55.852;12.955;39.43;35.18
2013-01-16;37.03;76.98;54.964;13.399;52.08;39.95
2013-01-17;33.99;86.07;53.437;13.925;57.78;52.08
2013-01-18;35.82;66.56;50.995;11.235;41.68;30.74
2013-01-19;31.75;52.59;39.437;6.343;30.82;20.84
2013-01-20;23.06;40.73;34.671;4.665;27.43;17.67
2013-01-21;21.91;61.48;47.59;14.397;47.69;39.57
2013-01-22;33.08;81.33;53.956;14.854;56.97;48.25
2013-01-23;37.86;98.51;59.742;16.268;76.78;60.65
2013-01-24;39.18;79.94;59.248;13.969;57.07;40.76
2013-01-25;36.42;69.9;52.259;11.215;41.27;33.48
2013-01-26;30.17;49.95;36.843;4.518;23.49;19.78
2013-01-27;15.19;38.49;31.12;5.283;38.46;23.3
2013-01-28;23.54;59.74;44.903;12.355;39.65;36.2
2013-01-29;8.31;50.87;32.268;13.345;44.41;42.56
2013-01-30;6.45;45.91;29.352;12.918;41.92;39.46
2013-01-31;-0.07;38.63;26.059;15.269;43.15;38.7
2013-02-01;7.34;59.83;34.978;16.629;61.07;52.49
2013-02-02;27.21;47.49;35.526;5.053;30.79;20.28
2013-02-03;12.25;38.99;28.801;7.182;44.72;26.74
2013-02-04;8.79;59.97;32.352;12.303;56.71;51.18
2013-02-05;7.27;58.47;32.318;14.158;62.04;51.2
2013-02-06;30.04;59.94;46.83;11.446;45.86;29.9
2013-02-07;32.59;82.3;50.874;12.963;57.52;49.71
2013-02-08;32.61;70.23;49.437;12.533;60.33;37.62
2013-02-09;32.29;64.41;40.718;8.059;43.94;32.12
2013-02-10;30.1;40.52;35.033;3.245;24.65;10.42
2013-02-11;28.02;51.79;40.964;7.154;31.62;23.77
2013-02-12;34.54;79.08;49.462;11.169;57.15;44.54
2013-02-13;35.32;87.94;52.684;13.373;68.27;52.62
2013-02-14;34.84;64.59;46.665;9.282;39.28;29.75
2013-02-15;34.05;64.98;50.959;11.429;45.92;30.93
2013-02-16;35.79;57.98;41.292;5.977;31.48;22.19
2013-02-17;34.48;53.18;38.436;4.475;23.62;18.7
2013-02-18;35.89;84.36;53.532;13.726;73.95;48.47
2013-02-19;32.46;68.0;48.549;11.276;42.24;35.54
2013-02-20;32.61;67.93;46.193;10.38;48.11;35.32
2013-02-21;36.88;83.67;52.846;12.572;67.39;46.79
2013-02-22;37.01;63.43;47.951;9.662;44.57;26.42
2013-02-23;32.16;48.05;37.318;3.556;21.56;15.89
2013-02-24;23.92;42.9;33.748;5.722;27.58;18.98
2013-02-25;31.54;69.0;52.683;13.319;60.43;37.46
2013-02-26;35.33;84.77;55.491;13.737;67.44;49.44
2013-02-27;37.23;99.9;59.665;16.824;83.28;62.67
2013-02-28;36.25;72.83;53.959;11.78;52.48;36.58
2013-03-01;33.03;77.85;51.045;12.438;69.83;44.82
2013-03-02;30.98;64.96;42.285;8.398;53.92;33.98
2013-03-03;20.51;73.29;38.352;12.805;56.59;52.78
2013-03-04;34.1;84.21;48.901;13.994;84.72;50.11
2013-03-05;31.99;72.64;41.59;11.499;62.5;40.65
2013-03-06;35.02;95.08;49.004;16.319;95.41;60.06
2013-03-07;30.71;57.29;41.455;7.489;40.27;26.58
2013-03-08;19.09;54.92;36.236;9.485;46.91;35.83
2013-03-09;15.32;45.19;30.445;8.441;38.57;29.87
2013-03-10;6.52;42.56;18.572;11.501;51.72;36.04
2013-03-11;11.19;57.94;37.87;13.475;53.06;46.75
2013-03-12;31.19;70.87;46.527;10.708;56.16;39.68
2013-03-13;35.07;89.61;55.337;16.56;89.37;54.54
2013-03-14;35.02;84.41;53.34;16.065;94.33;49.39
2013-03-15;32.18;68.68;44.313;11.071;58.11;36.5
2013-03-16;7.52;47.79;27.885;12.683;53.02;40.27
2013-03-17;-0.02;39.53;10.832;10.472;45.21;39.55
2013-03-18;0.08;80.1;36.586;20.581;86.09;80.02
2013-03-19;31.13;76.78;43.706;11.166;67.75;45.65
2013-03-20;33.01;100.51;50.357;15.472;89.32;67.5
2013-03-21;34.15;108.64;55.567;18.962;120.83;74.49
2013-03-22;29.37;65.89;38.94;9.148;50.07;36.52
2013-03-23;9.16;47.05;21.171;10.451;62.84;37.89
2013-03-24;-50.01;43.52;12.695;19.921;124.35;93.53
2013-03-25;24.96;48.67;34.342;8.402;47.24;23.71
